status,giftCardId,merchantName,giftCardTitle,categorySlug,score,reason,evidence,candidates,officialUrl,websiteUrl
SAFE,cmta1lsuq00qiq8iystq7a2jy,Chicart,Chicart Gift Card,jewelry-watches,124,,official-page:jewelry | merchant-page:jewelry,jewelry-watches:124 | restaurants:66,https://chicart.gr/,https://chicart.gr
SAFE,cmtb7hxhc000b04iy3qi3vpga,Christakis,Christakis Gift Card,fashion,115,,official-page:fashion | merchant-page:fashion | page-excerpt:fashion,fashion:115 | education:80 | beauty:74 | experiences:62,https://christakisathens.com/product/christakis-gift-card-online-in-store/,https://christakisathens.com
SAFE,cmtb7718b000ldkiynw5j1q46,Cordella,Δωροκάρτα 500€,hotels,110,,official-page:hotel | page-excerpt:hotel,hotels:110 | spa-wellness:77 | sports:72 | technology:69 | experiences:62,https://www.cordella.gr/shop/empeiries/taxidia-metakiniseis/xenodoxeia-diamones/dorokarta-500_10995,https://cordella.gr
SAFE,cmtb771lh000ndkiytvwtqvrd,Crescendo,Gift Cards - Crescendo,jewelry-watches,124,,official-page:jewelry | merchant-page:jewelry | page-excerpt:jewelry,jewelry-watches:124 | experiences:62,https://www.crescendo-rodi.gr/gift-cards/,https://crescendo-rodi.gr
SAFE,cmtb77v6h004vdkiy54z2aiui,Cuka,Cuka Gift Card,fashion,115,,official-page:fashion | merchant-page:fashion | page-excerpt:fashion,fashion:115,https://cuka.gr/shop/new-collection-ss-26-all/gift-card-2/,https://cuka.gr
SAFE,cmta1mtcc00ueq8iy4sz85qxi,Dahaproject,Dahaproject Gift Card,jewelry-watches,124,,official-page:jewelry,jewelry-watches:124,https://www.dahaproject.gr/component/virtuemart/gift-card?Itemid=368,https://dahaproject.gr
SAFE,cmtb7i2oe001204iynczh2811,Detail,Gift Card Detail,fashion,110,,merchant-page:fashion | page-excerpt:fashion,fashion:110,https://estiathens.com/en/pages/gift-card,https://estiathens.com
SAFE,cmta1i4s700b8q8iy5xesqkh9,Elegancy,Elegancy Gift Card,beauty,119,,official-page:beauty,beauty:119,https://www.elegancy.gr/gift-card,https://elegancy.gr
SAFE,cmta1i8n300boq8iydt4qw67b,Fantasea,Δωροεπιταγή 100,sports,112,,merchant-page:sports-outdoor,sports:112,https://www.fantasea.gr/product/doroepitagi-30-1032/,https://fantasea.gr
SAFE,cmtb774sd0013dkiy6s1lutst,Feed Me,Feed Me Gift Card,pets,131,,official-page:pet-industry | merchant-page:pet-industry | page-excerpt:pet-industry,pets:131,https://www.feedmepetshop.gr/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-giftcard-25e/,https://feedmepetshop.gr
SAFE,cmta1n1gn00vaq8iypcugwv32,Feelcar,Feelcar Gift Card,fashion,110,,merchant-page:fashion | page-excerpt:fashion,fashion:110,https://feelcar.gr/product/dorokarta/,https://feelcar.gr
