action,domain,keep_id,duplicate_id,duplicate_name,production_id,production_name,source_name,reason
MARK_DUPLICATE_PRODUCTION,homemarkt.gr,,cmt8e7js7000278iy140w3ife,HomeMarkt,cmt8faz8700056kiyd92fmy9h,HomeMarkt,External Search Discovery,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,homemarkt.gr,,cmt8poph2008yzsiyzcxmmojq,HomeMarkt,cmt8faz8700056kiyd92fmy9h,HomeMarkt,BestPrice Prepaid Cards,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,homemarkt.gr,,cmt8pops10091zsiyg75iopki,HomeMarkt,cmt8faz8700056kiyd92fmy9h,HomeMarkt,BestPrice Prepaid Cards,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,homemarkt.gr,,cmt8popyu0093zsiytvrlsq0r,HomeMarkt,cmt8faz8700056kiyd92fmy9h,HomeMarkt,BestPrice Prepaid Cards,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,hondoscenter.com,,cmt8e7jwr000378iylbk843sk,Hondos Center,cmt8fazwh000a6kiymri92mev,Hondos Center,External Search Discovery,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,ianos.gr,,cmt8h8zol001dyoiyil9mr6xw,Ianos,cmt8hpbl40005pgiygrv6zswp,Ianos,Official Site Discovery v3,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,ikea.gr,,cmt79dicx0000zgiyg69rlwt7,IKEA,cmt79if46000n84iyg23kadng,IKEA,Official Websites,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_DISCOVERY,ipatios.gr,cmt8pnyuu001ezsiydqdav5m9,cmt8po3et002ozsiygyonan5r,Ipatios,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,ipatios.gr,cmt8pnyuu001ezsiydqdav5m9,cmt8po7fw003tzsiyfwejy9ls,Ipatios,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,ipatios.gr,cmt8pnyuu001ezsiydqdav5m9,cmt8poasn004qzsiyypewrgdw,Ipatios,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,ipatios.gr,cmt8pnyuu001ezsiydqdav5m9,cmt8pocvl005bzsiyp14up69x,Ipatios,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,ipatios.gr,cmt8pnyuu001ezsiydqdav5m9,cmt8poeev005rzsiy6ll7m4ff,Ipatios,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_PRODUCTION,jdsports.gr,,cmt9s0kuu0008kciyxnlp6nkf,JD Sports,cmt8gzrhy000014iyuz59nurc,JD Sports Greece,Kouponia365 Gift Cards,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,jdsports.gr,,cmt8gq3gu00091kiy21g99jj7,JD Sports Greece,cmt8gzrhy000014iyuz59nurc,JD Sports Greece,Official Site Discovery v3,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_DISCOVERY,john-andy.com,cmt8pnub70004zsiyjpdkilkb,cmt8pny3i0016zsiy24lamq67,John-Andy,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,john-andy.com,cmt8pnub70004zsiyjpdkilkb,cmt8po2m5002gzsiylnihttdi,John-Andy,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,john-andy.com,cmt8pnub70004zsiyjpdkilkb,cmt8po6nj003lzsiyr3wylvwb,John-Andy,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,john-andy.com,cmt8pnub70004zsiyjpdkilkb,cmt9s0md3000nkciycsq0kuki,JOHN-ANDY,,,Kouponia365 Gift Cards,Same explicit possibleOfficialUrl domain as keeper
